#otu,P1-1,P1-2,P1-3,P2-1,P2-2,P2-3,P3-1,P3-2,P3-3
1609481,0,0,0,79,114,0,0,0,0
1113479,0,0,0,0,114,0,0,0,0
160134,0,0,102,0,0,88,114,0,0
823071,0,0,0,113,0,0,0,0,0
839103,0,0,0,113,0,0,0,0,35
147965,0,112,0,0,0,0,0,0,0
4134161,0,0,0,0,0,0,112,0,0
134335,0,0,0,111,0,0,0,0,0
325556,0,0,0,0,0,0,0,0,111
553592,0,0,0,0,0,0,0,0,111
558455,0,0,109,0,78,54,0,0,0
114811,0,0,0,109,0,0,0,0,0
630039,0,0,0,107,0,0,0,0,0
169706,0,0,105,0,0,0,0,0,0
4219826,0,0,0,0,0,0,0,105,0
167519,0,103,58,39,55,0,0,0,0
829435,101,0,0,0,0,0,0,0,0
2887956,0,0,0,0,0,0,100,0,0
730394,0,99,0,0,0,0,0,0,0
731384,0,98,0,0,0,0,0,0,0
639286,0,98,0,0,0,0,0,0,0
880304,0,97,0,0,0,0,0,0,0
210232,0,97,0,0,0,0,0,0,0
3314369,0,0,0,95,0,0,0,0,0
1074696,0,94,0,0,0,0,0,0,0
364404,0,0,93,0,0,0,0,0,0
165185,32,70,91,48,68,0,0,0,0
270040,0,0,0,91,0,0,0,0,0
1062089,0,0,0,0,0,0,0,0,88
276408,0,54,33,0,0,0,0,0,0
827888,0,0,0,0,0,0,0,87,0
1108347,0,0,0,0,0,0,86,0,0
312645,0,0,0,0,0,0,0,0,86
1029908,0,0,83,0,0,0,0,0,0
272922,0,0,0,0,82,0,0,0,0
276687,0,0,0,0,0,0,0,0,82
166485,0,81,63,0,46,0,0,0,0
741691,0,81,0,0,0,0,0,0,0
577240,0,79,81,0,0,0,60,0,0
3304901,0,0,0,80,72,0,0,0,0
526696,0,0,79,0,0,0,0,0,0
1105622,0,0,0,0,0,0,0,78,0
512934,0,0,0,0,46,0,77,0,0
328728,0,76,0,0,0,0,0,0,0
547431,0,0,0,0,0,0,0,0,75
1107230,0,59,0,0,0,0,0,0,74
3016490,0,0,73,0,0,0,0,0,0
651830,0,0,0,0,0,0,0,0,71
166372,70,0,0,0,0,0,0,0,0
237767,0,68,0,0,0,0,0,0,0
171914,0,0,0,0,0,0,0,68,0
355875,0,0,67,0,0,0,0,0,0
114639,0,0,0,0,0,0,0,0,67
885942,0,66,0,0,15,0,0,0,0
574540,0,0,0,0,0,0,0,0,66
3010526,0,0,0,0,0,0,65,0,0
333721,0,64,0,0,0,0,0,0,0
1110538,0,0,64,0,0,0,0,0,0
150819,0,0,0,0,0,0,64,0,0
313754,0,0,0,0,0,0,0,0,64
134303,0,0,63,0,0,0,0,0,0
903445,0,0,0,62,0,0,0,0,0
101377,0,0,0,61,0,0,0,0,0
648659,0,0,0,0,0,0,0,61,0
268409,0,0,60,0,0,0,0,0,0
1115864,0,0,0,59,0,0,0,0,0
463862,0,0,0,59,0,0,0,0,0
533502,0,0,0,0,0,0,59,0,0
571157,0,0,0,58,0,0,0,0,0
565133,0,57,0,0,0,0,0,0,0
725661,0,0,57,0,0,0,0,0,0
1117036,0,0,0,0,57,0,0,0,0
576886,0,0,0,0,57,0,0,0,0
787293,0,0,0,0,0,57,0,0,0
2943622,0,0,0,0,0,0,57,0,0
1632426,0,0,56,0,0,0,0,0,0
555453,0,0,0,0,56,38,0,0,0
112010,0,0,0,0,56,0,0,0,0
2780,55,0,0,0,0,0,0,0,0
200080,0,0,55,0,36,0,0,0,0
732931,0,52,0,0,0,0,0,0,0
1115097,0,0,52,0,0,0,0,0,0
981968,0,0,0,0,0,0,0,0,52
511043,0,51,0,0,0,0,0,0,0
544563,48,0,0,0,0,0,35,0,0
2592666,48,0,0,0,0,0,0,0,0
1032887,0,46,0,0,0,0,0,0,0
2901151,0,0,45,0,0,0,0,0,0
2807723,44,0,0,0,33,0,0,0,0
160916,0,42,0,0,0,0,0,0,0
182109,0,0,0,0,0,0,0,42,0
136664,0,0,0,0,0,0,0,0,41
782721,40,0,0,0,0,0,0,0,0
4097171,0,40,0,0,0,0,0,0,0
589995,0,40,0,0,0,0,0,0,0
223862,0,0,0,40,0,0,0,0,0
167417,0,0,0,39,0,0,0,0,0
3656078,0,0,0,0,39,0,0,0,0
262828,0,0,0,0,0,0,0,39,0
2217346,0,0,0,0,0,0,0,0,38
164821,15,0,37,0,0,0,0,0,0
313062,0,0,0,0,0,0,0,37,0
136924,0,36,0,0,0,0,0,0,0
3429463,0,0,0,36,0,0,0,0,0
167277,0,0,0,0,0,0,36,0,0
2998264,0,35,0,0,0,0,0,0,0
550479,0,0,35,0,0,0,0,0,0
258562,0,0,35,0,0,0,0,0,0
2904390,0,0,0,0,0,0,0,0,35
731070,0,0,34,0,0,0,0,0,0
207308,0,0,34,0,0,0,0,0,0
350620,0,0,0,30,0,0,34,0,0
572774,4,0,32,0,0,0,0,0,0
159782,0,0,32,0,0,0,0,0,0
1760957,0,0,0,32,0,0,0,0,0
1115987,0,0,0,0,0,0,0,0,32
174445,31,0,0,0,0,0,0,0,0
258872,0,0,31,0,0,0,0,0,0
557283,0,0,0,0,0,0,0,31,0
1136923,0,30,0,0,0,0,0,0,0
161167,0,30,0,0,0,0,0,0,0
585249,0,0,30,0,0,0,0,0,0
643368,0,0,30,0,0,0,0,0,0
1131525,0,0,0,0,30,0,0,0,0
170215,29,0,0,0,0,0,0,0,0
209831,0,29,0,0,0,0,0,0,0
715380,0,29,0,0,0,0,0,0,0
301284,0,0,29,0,0,0,0,0,0
565674,0,28,0,0,0,0,0,0,0
3076933,0,28,0,0,0,0,0,0,0
3740563,0,28,0,0,0,0,0,0,0
151986,0,0,28,0,5,0,0,0,0
1143299,0,0,28,0,0,0,0,0,0
2290176,0,0,0,0,28,0,0,0,0
153594,0,0,0,13,0,0,28,0,0
204684,0,0,27,0,0,0,0,0,0
605156,0,0,26,0,15,0,0,0,0
4107874,0,0,26,0,21,0,0,0,0
259809,0,25,0,0,0,0,0,0,0
809362,0,0,25,0,0,0,0,0,0
823643,0,0,0,0,25,0,0,0,0
828156,0,0,0,0,0,0,6,0,25
2273915,0,0,0,0,0,0,24,0,0
836228,23,0,0,0,0,0,0,0,0
270614,0,23,0,8,0,0,0,0,0
556667,0,0,20,0,0,0,22,15,0
645693,0,0,0,0,0,0,0,0,22
1609471,0,21,0,0,0,0,0,0,0
556214,0,0,21,0,0,0,0,0,0
81232,0,0,0,0,21,0,0,0,0
636404,0,0,0,0,0,0,21,0,0
2349365,0,0,0,0,0,0,21,0,0
1127121,20,0,0,0,0,0,0,0,0
3251776,0,20,0,0,0,0,0,0,0
3423659,2,20,0,0,0,0,0,0,0
3226205,10,20,0,8,19,0,0,0,20
2202952,0,20,0,0,0,0,0,0,0
3485026,0,0,0,20,0,0,0,0,0
4248319,0,0,0,20,0,0,0,0,0
838330,0,0,0,0,0,0,20,0,0
565514,0,0,19,0,0,0,0,0,0
221340,0,0,0,0,19,0,0,0,0
3164842,0,0,0,0,0,0,19,0,0
327945,0,18,0,0,0,0,0,0,0
11129,0,18,0,0,0,0,0,0,0
1109894,0,0,18,0,0,0,0,0,0
702807,17,0,0,0,0,0,0,0,0
184957,0,17,0,0,0,0,0,0,0
811426,0,0,17,0,0,0,0,0,0
1138314,0,0,17,0,0,0,0,0,0
3624380,0,0,17,0,0,0,0,0,0
270202,0,0,17,0,0,0,0,0,0
2383952,0,0,0,0,17,0,0,0,0
3079222,0,0,0,0,0,0,0,0,17
569251,0,16,0,0,0,0,0,0,0
803668,0,15,0,0,0,0,0,0,0
4136000,0,0,0,15,0,0,0,0,0
2641445,0,0,0,15,0,0,0,0,0
263943,0,0,0,0,15,0,0,0,0
1111823,0,0,0,0,15,0,0,0,0
3396731,0,14,0,0,0,0,0,0,0
548377,0,0,0,14,0,0,0,0,0
542598,0,0,0,0,0,0,0,0,14
161044,0,0,13,0,0,0,0,0,0
824531,0,0,0,13,0,0,0,0,0
264692,0,0,0,13,0,0,0,6,0
361862,0,0,0,13,0,0,0,0,0
558241,0,0,0,0,13,0,0,0,0
584239,0,0,0,0,0,0,13,0,0
542018,0,0,0,0,0,0,13,0,0
1031401,0,0,0,0,0,0,0,0,13
2188457,0,0,0,0,0,0,0,0,13
661598,12,0,0,0,0,0,0,0,0
670611,12,0,0,0,0,0,0,0,0
549372,0,12,0,0,0,0,0,0,0
510838,0,0,12,0,0,0,0,0,0
713190,0,0,12,0,0,0,0,0,0
105158,0,0,12,0,0,0,0,0,0
537575,0,0,0,12,0,0,0,0,0
896802,0,0,0,0,0,0,12,0,0
71233,0,0,0,0,0,0,12,0,0
2161696,0,0,0,0,0,0,12,0,0
1769343,0,0,0,0,0,0,0,0,12
1108984,11,0,0,0,0,0,0,0,0
210067,0,11,0,0,0,0,0,0,0
318510,0,0,0,0,11,0,0,0,0
202089,0,0,0,0,0,0,11,0,0
433739,0,0,0,0,0,0,0,10,0
136806,0,0,0,0,0,0,0,0,10
2000879,9,0,0,0,0,0,0,0,0
536761,0,9,0,0,0,0,0,0,0
553502,0,9,0,0,0,0,0,0,0
190023,0,9,0,0,0,0,0,0,0
1096572,0,0,9,0,0,0,0,0,0
549128,0,0,0,0,9,0,0,0,0
1704554,0,0,0,0,9,0,0,0,0
249994,0,0,8,6,0,0,0,0,0
569338,0,0,8,0,0,0,0,0,0
162638,0,0,0,8,0,0,0,0,0
278363,0,0,0,8,0,0,0,0,0
3571767,0,0,0,0,0,0,8,0,0
1132803,7,0,0,0,0,0,0,0,0
2214073,7,0,0,0,0,0,0,0,0
3025176,0,7,0,0,0,0,0,0,0
711247,0,7,0,0,0,0,0,0,0
745395,0,7,0,0,0,0,0,0,0
151268,0,7,0,0,0,0,0,0,0
93459,0,0,0,0,7,0,0,0,0
249727,0,4,0,0,7,0,0,0,0
3479128,0,0,0,0,0,0,7,0,0
3685330,0,0,0,6,0,0,0,0,0
1075099,0,0,0,6,0,0,0,0,0
288017,0,0,0,0,6,0,0,0,0
247128,0,0,0,0,0,0,0,6,0
740348,5,0,0,0,0,0,0,0,0
782932,0,5,0,0,0,0,0,0,0
273805,0,5,0,0,0,0,0,0,0
3759094,0,5,0,0,0,0,0,0,0
824583,0,0,5,0,0,0,0,0,0
146478,0,0,5,0,0,0,0,0,0
